Mars solar minimum

Z: altitude (km)
TN,TI,TE: temperature (K)
SZA=44 deg
----------------------------------

  Z      TN        TI        TE   
1172 1.980E+02 4.450E+03 3.660E+03
1176 1.980E+02 4.450E+03 3.660E+03
1180 1.980E+02 4.450E+03 3.660E+03
1184 1.980E+02 4.450E+03 3.660E+03
1188 1.980E+02 4.450E+03 3.660E+03
1192 1.980E+02 4.450E+03 3.660E+03
1196 1.980E+02 4.450E+03 3.660E+03
1200 1.980E+02 4.450E+03 3.660E+03
1204 1.980E+02 4.450E+03 3.660E+03
1208 1.980E+02 4.450E+03 3.660E+03
1212 1.980E+02 4.450E+03 3.660E+03
1216 1.980E+02 4.450E+03 3.660E+03
1220 1.980E+02 4.450E+03 3.660E+03
1224 1.980E+02 4.450E+03 3.660E+03
1228 1.980E+02 4.450E+03 3.660E+03
1232 1.980E+02 4.450E+03 3.660E+03
1236 1.980E+02 4.450E+03 3.660E+03
1240 1.980E+02 4.450E+03 3.660E+03
1244 1.980E+02 4.450E+03 3.660E+03
1248 1.980E+02 4.450E+03 3.660E+03
1252 1.980E+02 4.450E+03 3.660E+03
1256 1.980E+02 4.450E+03 3.660E+03
1260 1.980E+02 4.450E+03 3.660E+03
1264 1.980E+02 4.450E+03 3.660E+03
1268 1.980E+02 4.450E+03 3.660E+03
1272 1.980E+02 4.450E+03 3.660E+03
1276 1.980E+02 4.450E+03 3.660E+03
1280 1.980E+02 4.450E+03 3.660E+03
1284 1.980E+02 4.450E+03 3.660E+03
1288 1.980E+02 4.450E+03 3.660E+03
1292 1.980E+02 4.450E+03 3.660E+03
1296 1.980E+02 4.450E+03 3.660E+03
1300 1.980E+02 4.450E+03 3.660E+03
1304 1.980E+02 4.450E+03 3.660E+03
1308 1.980E+02 4.450E+03 3.660E+03
1312 1.980E+02 4.450E+03 3.660E+03
1316 1.980E+02 4.450E+03 3.660E+03
1320 1.980E+02 4.450E+03 3.660E+03
1324 1.980E+02 4.450E+03 3.660E+03
1328 1.980E+02 4.450E+03 3.660E+03
1332 1.980E+02 4.450E+03 3.660E+03
1336 1.980E+02 4.450E+03 3.660E+03
1340 1.980E+02 4.450E+03 3.660E+03
1344 1.980E+02 4.450E+03 3.660E+03
1348 1.980E+02 4.450E+03 3.660E+03
1352 1.980E+02 4.450E+03 3.660E+03
1356 1.980E+02 4.450E+03 3.660E+03
1360 1.980E+02 4.450E+03 3.660E+03
1364 1.980E+02 4.450E+03 3.660E+03
1368 1.980E+02 4.450E+03 3.660E+03
1372 1.980E+02 4.450E+03 3.660E+03
1376 1.980E+02 4.450E+03 3.660E+03
1380 1.980E+02 4.450E+03 3.660E+03
1384 1.980E+02 4.450E+03 3.660E+03
1388 1.980E+02 4.450E+03 3.660E+03
1392 1.980E+02 4.450E+03 3.660E+03
1396 1.980E+02 4.450E+03 3.660E+03
1400 1.980E+02 4.450E+03 3.660E+03
1404 1.980E+02 4.450E+03 3.660E+03
1408 1.980E+02 4.450E+03 3.660E+03
1412 1.980E+02 4.450E+03 3.660E+03
1416 1.980E+02 4.450E+03 3.660E+03
1420 1.980E+02 4.450E+03 3.660E+03
1424 1.980E+02 4.450E+03 3.660E+03
1428 1.980E+02 4.450E+03 3.660E+03
1432 1.980E+02 4.450E+03 3.660E+03
1436 1.980E+02 4.450E+03 3.660E+03
