Mars solar minimum

Z: altitude (km)
CO2,N2,O,H,hotO: number density (cm-3)
SZA=44 deg
------------------------------------------------------

  Z     CO2        N2         O         H      hotO   
 756 2.088E-12 9.677E-06 4.127E+00 4.384E+04 1.233E+03
 760 1.538E-12 7.967E-06 3.693E+00 4.370E+04 1.222E+03
 764 1.133E-12 6.559E-06 3.305E+00 4.355E+04 1.211E+03
 768 8.349E-13 5.400E-06 2.957E+00 4.341E+04 1.200E+03
 772 6.151E-13 4.446E-06 2.646E+00 4.326E+04 1.189E+03
 776 4.532E-13 3.660E-06 2.367E+00 4.312E+04 1.179E+03
 780 3.339E-13 3.013E-06 2.118E+00 4.298E+04 1.168E+03
 784 2.460E-13 2.481E-06 1.895E+00 4.283E+04 1.158E+03
 788 1.812E-13 2.042E-06 1.696E+00 4.269E+04 1.147E+03
 792 1.335E-13 1.682E-06 1.518E+00 4.255E+04 1.137E+03
 796 9.836E-14 1.384E-06 1.358E+00 4.241E+04 1.127E+03
 800 7.247E-14 1.140E-06 1.215E+00 4.227E+04 1.116E+03
 804 5.339E-14 9.383E-07 1.087E+00 4.213E+04 1.106E+03
 808 3.933E-14 7.725E-07 9.728E-01 4.199E+04 1.096E+03
 812 2.898E-14 6.360E-07 8.704E-01 4.185E+04 1.087E+03
 816 2.135E-14 5.236E-07 7.788E-01 4.171E+04 1.077E+03
 820 1.573E-14 4.311E-07 6.969E-01 4.157E+04 1.067E+03
 824 1.159E-14 3.549E-07 6.236E-01 4.143E+04 1.057E+03
 828 8.538E-15 2.922E-07 5.580E-01 4.130E+04 1.048E+03
 832 6.290E-15 2.405E-07 4.993E-01 4.116E+04 1.038E+03
 836 4.634E-15 1.980E-07 4.467E-01 4.102E+04 1.029E+03
 840 3.414E-15 1.630E-07 3.997E-01 4.089E+04 1.020E+03
 844 2.515E-15 1.342E-07 3.577E-01 4.075E+04 1.011E+03
 848 1.853E-15 1.105E-07 3.200E-01 4.062E+04 1.002E+03
 852 1.365E-15 9.098E-08 2.864E-01 4.048E+04 9.925E+02
 856 1.006E-15 7.490E-08 2.562E-01 4.035E+04 9.835E+02
 860 7.410E-16 6.167E-08 2.293E-01 4.021E+04 9.747E+02
 864 5.460E-16 5.077E-08 2.052E-01 4.008E+04 9.659E+02
 868 4.022E-16 4.180E-08 1.836E-01 3.995E+04 9.572E+02
 872 2.963E-16 3.441E-08 1.643E-01 3.981E+04 9.486E+02
 876 2.183E-16 2.833E-08 1.470E-01 3.968E+04 9.400E+02
 880 1.608E-16 2.332E-08 1.315E-01 3.955E+04 9.316E+02
 884 1.185E-16 1.920E-08 1.177E-01 3.942E+04 9.232E+02
 888 8.730E-17 1.581E-08 1.053E-01 3.929E+04 9.148E+02
 892 6.432E-17 1.301E-08 9.421E-02 3.916E+04 9.066E+02
 896 4.739E-17 1.071E-08 8.430E-02 3.903E+04 8.984E+02
 900 3.491E-17 8.821E-09 7.543E-02 3.890E+04 8.903E+02
 904 2.572E-17 7.262E-09 6.749E-02 3.877E+04 8.823E+02
 908 1.895E-17 5.979E-09 6.039E-02 3.864E+04 8.743E+02
 912 1.396E-17 4.922E-09 5.404E-02 3.851E+04 8.665E+02
 916 1.029E-17 4.053E-09 4.835E-02 3.839E+04 8.587E+02
 920 7.578E-18 3.336E-09 4.326E-02 3.826E+04 8.509E+02
 924 5.583E-18 2.747E-09 3.871E-02 3.813E+04 8.433E+02
 928 4.113E-18 2.261E-09 3.464E-02 3.801E+04 8.357E+02
 932 3.030E-18 1.862E-09 3.099E-02 3.788E+04 8.281E+02
 936 2.233E-18 1.533E-09 2.773E-02 3.775E+04 8.207E+02
 940 1.645E-18 1.262E-09 2.482E-02 3.763E+04 8.133E+02
 944 1.212E-18 1.039E-09 2.220E-02 3.750E+04 8.059E+02
 948 8.928E-19 8.553E-10 1.987E-02 3.738E+04 7.987E+02
 952 6.577E-19 7.042E-10 1.778E-02 3.726E+04 7.915E+02
 956 4.846E-19 5.797E-10 1.591E-02 3.713E+04 7.843E+02
 960 3.570E-19 4.773E-10 1.423E-02 3.701E+04 7.773E+02
 964 2.630E-19 3.929E-10 1.274E-02 3.689E+04 7.703E+02
 968 1.938E-19 3.235E-10 1.140E-02 3.676E+04 7.633E+02
 972 1.428E-19 2.663E-10 1.020E-02 3.664E+04 7.564E+02
 976 1.052E-19 2.193E-10 9.124E-03 3.652E+04 7.496E+02
 980 7.749E-20 1.805E-10 8.164E-03 3.640E+04 7.429E+02
 984 5.709E-20 1.486E-10 7.305E-03 3.628E+04 7.362E+02
 988 4.206E-20 1.224E-10 6.537E-03 3.616E+04 7.295E+02
 992 3.099E-20 1.007E-10 5.849E-03 3.604E+04 7.230E+02
 996 2.283E-20 8.293E-11 5.233E-03 3.592E+04 7.165E+02
1000 1.682E-20 6.828E-11 4.683E-03 3.580E+04 7.100E+02
1004 1.239E-20 5.621E-11 4.190E-03 3.569E+04 7.070E+02
1008 9.129E-21 4.628E-11 3.749E-03 3.558E+04 7.041E+02
1012 6.726E-21 3.810E-11 3.355E-03 3.548E+04 7.011E+02
1016 4.955E-21 3.137E-11 3.002E-03 3.537E+04 6.982E+02
1020 3.651E-21 2.582E-11 2.686E-03 3.526E+04 6.952E+02
1024 2.690E-21 2.126E-11 2.403E-03 3.516E+04 6.923E+02
1028 1.982E-21 1.750E-11 2.150E-03 3.505E+04 6.894E+02
1032 1.460E-21 1.441E-11 1.924E-03 3.495E+04 6.865E+02
1036 1.076E-21 1.186E-11 1.722E-03 3.484E+04 6.837E+02
1040 7.924E-22 9.767E-12 1.541E-03 3.474E+04 6.808E+02
1044 5.838E-22 8.041E-12 1.379E-03 3.463E+04 6.779E+02
1048 4.301E-22 6.620E-12 1.233E-03 3.453E+04 6.751E+02
1052 3.169E-22 5.450E-12 1.104E-03 3.443E+04 6.723E+02
1056 2.334E-22 4.487E-12 9.876E-04 3.432E+04 6.695E+02
1060 1.720E-22 3.694E-12 8.837E-04 3.422E+04 6.666E+02
1064 1.267E-22 3.041E-12 7.907E-04 3.412E+04 6.639E+02
1068 9.335E-23 2.504E-12 7.075E-04 3.401E+04 6.611E+02
1072 6.878E-23 2.061E-12 6.330E-04 3.391E+04 6.583E+02
1076 5.067E-23 1.697E-12 5.664E-04 3.381E+04 6.555E+02
1080 3.733E-23 1.397E-12 5.068E-04 3.371E+04 6.528E+02
1084 2.750E-23 1.150E-12 4.535E-04 3.361E+04 6.501E+02
1088 2.026E-23 9.470E-13 4.058E-04 3.350E+04 6.473E+02
1092 1.493E-23 7.797E-13 3.631E-04 3.340E+04 6.446E+02
1096 1.100E-23 6.419E-13 3.249E-04 3.330E+04 6.419E+02
1100 8.103E-24 5.285E-13 2.907E-04 3.320E+04 6.392E+02
1104 5.970E-24 4.351E-13 2.601E-04 3.310E+04 6.365E+02
1108 4.398E-24 3.582E-13 2.328E-04 3.300E+04 6.339E+02
1112 3.240E-24 2.949E-13 2.083E-04 3.290E+04 6.312E+02
1116 2.387E-24 2.428E-13 1.864E-04 3.281E+04 6.286E+02
1120 1.759E-24 1.999E-13 1.667E-04 3.271E+04 6.259E+02
1124 1.296E-24 1.646E-13 1.492E-04 3.261E+04 6.233E+02
1128 9.546E-25 1.355E-13 1.335E-04 3.251E+04 6.207E+02
1132 7.033E-25 1.115E-13 1.195E-04 3.241E+04 6.181E+02
1136 5.181E-25 9.182E-14 1.069E-04 3.232E+04 6.155E+02
1140 3.817E-25 7.560E-14 9.564E-05 3.222E+04 6.129E+02
1144 2.812E-25 6.224E-14 8.558E-05 3.212E+04 6.104E+02
1148 2.072E-25 5.124E-14 7.658E-05 3.202E+04 6.078E+02
1152 1.527E-25 4.218E-14 6.852E-05 3.193E+04 6.053E+02
1156 1.125E-25 3.473E-14 6.131E-05 3.183E+04 6.027E+02
1160 8.286E-26 2.859E-14 5.486E-05 3.174E+04 6.002E+02
1164 6.104E-26 2.354E-14 4.909E-05 3.164E+04 5.977E+02
1168 4.497E-26 1.938E-14 4.392E-05 3.155E+04 5.952E+02
1172 3.313E-26 1.595E-14 3.930E-05 3.145E+04 5.927E+02
1176 2.441E-26 1.314E-14 3.517E-05 3.136E+04 5.902E+02
1180 1.798E-26 1.081E-14 3.147E-05 3.126E+04 5.877E+02
1184 1.325E-26 8.903E-15 2.816E-05 3.117E+04 5.853E+02
1188 9.762E-27 7.330E-15 2.519E-05 3.107E+04 5.828E+02
1192 7.192E-27 6.035E-15 2.254E-05 3.098E+04 5.804E+02
1196 5.298E-27 4.968E-15 2.017E-05 3.089E+04 5.779E+02
1200 3.904E-27 4.090E-15 1.805E-05 3.079E+04 5.755E+02
1204 2.876E-27 3.367E-15 1.615E-05 3.070E+04 5.731E+02
1208 2.119E-27 2.772E-15 1.445E-05 3.061E+04 5.707E+02
1212 1.561E-27 2.282E-15 1.293E-05 3.052E+04 5.683E+02
1216 1.150E-27 1.879E-15 1.157E-05 3.043E+04 5.659E+02
1220 8.473E-28 1.547E-15 1.035E-05 3.033E+04 5.636E+02
1224 6.242E-28 1.274E-15 9.263E-06 3.024E+04 5.612E+02
1228 4.599E-28 1.049E-15 8.288E-06 3.015E+04 5.588E+02
1232 3.388E-28 8.632E-16 7.416E-06 3.006E+04 5.565E+02
1236 2.496E-28 7.107E-16 6.636E-06 2.997E+04 5.542E+02
1240 1.839E-28 5.851E-16 5.938E-06 2.988E+04 5.518E+02
1244 1.355E-28 4.817E-16 5.313E-06 2.979E+04 5.495E+02
1248 9.982E-29 3.966E-16 4.754E-06 2.970E+04 5.472E+02
1252 7.354E-29 3.265E-16 4.254E-06 2.961E+04 5.449E+02
1256 5.418E-29 2.688E-16 3.806E-06 2.952E+04 5.426E+02
1260 3.992E-29 2.213E-16 3.406E-06 2.943E+04 5.404E+02
1264 2.941E-29 1.822E-16 3.047E-06 2.935E+04 5.381E+02
1268 2.167E-29 1.500E-16 2.727E-06 2.926E+04 5.359E+02
1272 1.596E-29 1.235E-16 2.440E-06 2.917E+04 5.336E+02
1276 1.176E-29 1.017E-16 2.183E-06 2.908E+04 5.314E+02
1280 8.664E-30 8.370E-17 1.953E-06 2.899E+04 5.291E+02
1284 6.383E-30 6.891E-17 1.748E-06 2.891E+04 5.269E+02
1288 4.703E-30 5.673E-17 1.564E-06 2.882E+04 5.247E+02
1292 3.465E-30 4.671E-17 1.399E-06 2.873E+04 5.225E+02
1296 2.553E-30 3.845E-17 1.252E-06 2.865E+04 5.203E+02
1300 1.881E-30 3.166E-17 1.120E-06 2.856E+04 5.181E+02
1304 1.386E-30 2.606E-17 1.003E-06 2.848E+04 5.160E+02
1308 1.021E-30 2.146E-17 8.971E-07 2.839E+04 5.138E+02
1312 7.520E-31 1.767E-17 8.027E-07 2.830E+04 5.117E+02
1316 5.540E-31 1.454E-17 7.182E-07 2.822E+04 5.095E+02
1320 4.082E-31 1.197E-17 6.427E-07 2.813E+04 5.074E+02
1324 3.007E-31 9.858E-18 5.751E-07 2.805E+04 5.053E+02
1328 2.216E-31 8.116E-18 5.145E-07 2.797E+04 5.031E+02
1332 1.632E-31 6.681E-18 4.604E-07 2.788E+04 5.010E+02
1336 1.203E-31 5.501E-18 4.120E-07 2.780E+04 4.989E+02
1340 8.860E-32 4.529E-18 3.686E-07 2.771E+04 4.968E+02
1344 6.527E-32 3.728E-18 3.298E-07 2.763E+04 4.948E+02
1348 4.809E-32 3.070E-18 2.951E-07 2.755E+04 4.927E+02
1352 3.543E-32 2.527E-18 2.641E-07 2.746E+04 4.906E+02
1356 2.610E-32 2.081E-18 2.363E-07 2.738E+04 4.886E+02
1360 1.923E-32 1.713E-18 2.114E-07 2.730E+04 4.865E+02
1364 1.417E-32 1.410E-18 1.892E-07 2.722E+04 4.845E+02
1368 1.044E-32 1.161E-18 1.693E-07 2.714E+04 4.824E+02
